Date : 2025-06-06 15:40:34
Directory : d:\react-projects\the-wild-oasis-ts
Total : 77 files,  6256 codes, 43 comments, 1033 blanks, all 7332 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         48 |      2,786 |         23 |        286 |      3,095 |
| YAML               |          1 |      2,730 |          0 |        634 |      3,364 |
| TypeScript         |         16 |        321 |         14 |         79 |        414 |
| PostCSS            |          1 |        166 |          0 |          9 |        175 |
| JSON               |          5 |        127 |          4 |          8 |        139 |
| Markdown           |          1 |         45 |          0 |         10 |         55 |
| JavaScript         |          1 |         45 |          0 |          4 |         49 |
| HTML               |          1 |         20 |          2 |          1 |         23 |
| JSON with Comments |          1 |         13 |          0 |          1 |         14 |
| Properties         |          1 |          2 |          0 |          1 |          3 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                     |         77 |      6,256 |         43 |      1,033 |      7,332 |
| . (Files)                                                                             |         12 |      2,998 |          6 |        661 |      3,665 |
| public                                                                                |          1 |          1 |          0 |          0 |          1 |
| src                                                                                   |         64 |      3,257 |         37 |        372 |      3,666 |
| src (Files)                                                                           |          3 |         71 |          1 |          7 |         79 |
| src\components                                                                        |         12 |        961 |          0 |        110 |      1,071 |
| src\components\ui                                                                     |         12 |        961 |          0 |        110 |      1,071 |
| src\features                                                                          |         18 |      1,250 |         20 |        120 |      1,390 |
| src\features\bookings                                                                 |          6 |        336 |          6 |         32 |        374 |
| src\features\cabins                                                                   |          8 |        774 |         12 |         64 |        850 |
| src\features\settings                                                                 |          4 |        140 |          2 |         24 |        166 |
| src\hooks                                                                             |          1 |         32 |          4 |          9 |         45 |
| src\lib                                                                               |          1 |          5 |          0 |          2 |          7 |
| src\pages                                                                             |          8 |         79 |          0 |         16 |         95 |
| src\services                                                                          |          4 |        154 |          8 |         43 |        205 |
| src\styles                                                                            |          1 |        166 |          0 |          9 |        175 |
| src\ui                                                                                |         15 |        528 |          4 |         53 |        585 |
| src\utils                                                                             |          1 |         11 |          0 |          3 |         14 |
+---------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                              | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\react-projects\the-wild-oasis-ts\.env                                              | Properties         |          2 |          0 |          1 |          3 |
| d:\react-projects\the-wild-oasis-ts\.prettierrc                                       | JSON               |          3 |          0 |          1 |          4 |
| d:\react-projects\the-wild-oasis-ts\README.md                                         | Markdown           |         45 |          0 |         10 |         55 |
| d:\react-projects\the-wild-oasis-ts\components.json                                   | JSON               |         21 |          0 |          0 |         21 |
| d:\react-projects\the-wild-oasis-ts\eslint.config.js                                  | JavaScript         |         45 |          0 |          4 |         49 |
